Product Name,URL,Price,Ratings,Delivery
"Samsung Galaxy M20 (Ocean Blue , 4GB RAM, 64GB Storage, 5000mAH Battery)",/Samsung-Galaxy-Ocean-Blue-64GB/dp/B07HGH3G6H/ref=sr_1_3?dchild=1&keywords=phones&qid=1584615425&sr=8-3,"10,499",4.0 out of 5 stars,FREE Delivery by Amazon
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",/Redmi-Note-Neptune-Blue-Storage/dp/B07X1KT6LD/ref=sr_1_4?dchild=1&keywords=phones&qid=1584615425&sr=8-4,"10,499",4.3 out of 5 stars,FREE Delivery by Amazon
"Samsung Galaxy M30s (Blue, 4GB RAM, 64GB Storage)",/Test-Exclusive-628/dp/B07HGMQX6N/ref=sr_1_5?dchild=1&keywords=phones&qid=1584615425&sr=8-5,"12,999",4.4 out of 5 stars,FREE Delivery by Amazon
"Samsung Galaxy M30 (Gradation Blue, 4GB RAM, Super AMOLED Display, 64GB Storage, 5000mAH Battery)",/Samsung-Galaxy-M30-Gradation-Blue/dp/B07HGJJ58K/ref=sr_1_6?dchild=1&keywords=phones&qid=1584615425&sr=8-6,"11,999",4.1 out of 5 stars,FREE Delivery by Amazon
"Mi Redmi Go (Blue, 16 GB) (1 GB RAM)",/Redmi-Go-Blue-16-RAM/dp/B07SRYT6Z8/ref=sr_1_7?dchild=1&keywords=phones&qid=1584615425&sr=8-7,"4,699",3.9 out of 5 stars,FREE Delivery by Amazon
Micromax iOne Notch (2+16) GB Black with Face Lock,/Micromax-iOne-Notch-Black-Face/dp/B07RZTQXLH/ref=sr_1_8?dchild=1&keywords=phones&qid=1584615425&sr=8-8,"3,800",3.7 out of 5 stars,FREE Delivery by Amazon
"Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage)",/Redmi-Note-Space-Black-Storage/dp/B07X4PXKZ7/ref=sr_1_9?dchild=1&keywords=phones&qid=1584615425&sr=8-9,"10,499",4.3 out of 5 stars,FREE Delivery by Amazon
"Xiaomi Mi A3 (Not Just Blue, 4GB RAM, 64GB Storage) - Extra 1,000 Off on Exchange & 6 Month No Cost EMI",/Test-Exclusive-675/dp/B07HGMR1X1/ref=sr_1_10?dchild=1&keywords=phones&qid=1584615425&sr=8-10,"11,999",4.0 out of 5 stars,FREE Delivery by Amazon
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_13?dchild=1&keywords=phones&qid=1584615425&sr=8-13,"6,990",4.1 out of 5 stars,FREE Delivery by Amazon
"OPPO F11 (Fluorite Purple, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",/Fluorite-Purple-Storage-Additional-Exchange/dp/B07PTLD8P9/ref=sr_1_14?dchild=1&keywords=phones&qid=1584615425&sr=8-14,"13,990",4.3 out of 5 stars,FREE Delivery by Amazon
